"Place","Region","Confirmed","Deaths","Recovered","Active","Last Update"
"Michigan","United States","1,795","24","0","1,771","2020-03-25 01:00:00 * CTY: Wayne 876; Oakland 428; Macomb 225; Washtenaw 50; Genesee 34; Kent 31; Ottawa 15; Ingham 15; Livingston 13; Monroe 12; St. Clair 8; Saginaw 8; Berrien 8; Out of State 6; Jackson 6; Clinton 5; Otsego 5; Midland 5; Calhoun 4; Charlevoix 3; Eaton 3; Kalamazoo 3; Grand Traverse 3; Muskegon 3; Not Reported 2; Isabella 2; Gladwin 2; Bay 2; Emmet 2; Newaygo 2; Tuscola 1; Manistee 1; Marquette 1; Allegan 1; Chippewa 1; Lapeer 1; Leelanau 1; Barry 1; Montcalm 1; Clare 1; Roscommon 1; Kalkaska 1; Wexford 1; Hillsdale 1"
"Denmark","Denmark","1,718","32","36","1,650","2020-03-24 22:00:00"
"Malaysia","Malaysia","1,624","16","183","1,425","2020-03-24 20:00:00"
"Illinois","United States","1,537","16","0","1,521","2020-03-25 01:00:00 * CTY: Cook 1194; Lake 111; DuPage 103; Will 28; Kane 24; McHenry 14; McLean 7; St. Clair 7; Sangamon 5; Winnebago 5; Champaign 4; Kankakee 4; Kendall 4; LaSalle 3; Clinton 3; Peoria 3; Woodford 3; Madison 2; DeKalb 1; Whiteside 1; Cumberland 1; Grundy 1; Livingston 1; Monroe 1; Christian 1; Adams 1; Rock Island 1; Jackson 1; Stephenson 1; Jo Daviess 1; Washington 1"
"Florida","United States","1,467","20","0","1,447","2020-03-25 01:00:00 * CTY: Miami-Dade 367; Broward 312; Palm Beach 104; Hillsborough 95; Orange 52; Duval 50; Pinellas 45; Collier 41; Alachua 37; Lee 34; Sarasota 26; Osceola 26; Seminole 25; St. Johns 24; Volusia 19; Manatee 16; Pasco 16; Okaloosa 14; Lake 14; Escambia 13; Polk 13; Indian River 12; Sumter 10; Walton 10; Clay 10; Citrus 9; Brevard 9; Leon 8; Hernando 7; St. Lucie 6; Santa Rosa 6; Martin 4; Highlands 4; Marion 4; Baker 4; Flagler 4; Columbia 3; Monroe 3; Charlotte 3; Putnam 2; Bay 1; Gadsden 1; Bradford 1; Desoto 1; Nassau 1; Jackson 1"
"Guangdong","Mainland China","1,428","8","1,333","87","2020-03-24 03:00:00"
"Czech Republic","Czech Republic","1,394","3","10","1,381","2020-03-24 22:00:00"
"Louisiana","United States","1,388","46","0","1,342","2020-03-25 01:00:00 * CTY: Orleans 675; Jefferson 293; East Baton Rouge 58; St. Tammany 52; Caddo 40; Ascension 36; St. John the Baptist 21; St. Bernard 19; Lafourche 16; St. Charles 15; Terrebonne 14; Iberville 14; Bossier 12; Lafayette 12; unknown 12; Rapides 10; St. James 9; Plaquemines 8; Ouachita 7; Livingston 6; De Soto 6; West Baton Rouge 5; Calcasieu 5; Tangipahoa 4; Webster 3; Avoyelles 3; St. Landry 3; Washington 3; Claiborne 2; Beauregard 2; Vernon 2; Lincoln 2; Acadia 2; Assumption 2; Iberia 2; Evangeline 2; St. Mary 2; Allen 2; Natchitoches 2; Richland 1; Bienville 1; Catahoula 1; Grant 1; St. Martin 1"
"Ireland","Ireland","1,329","7","5","1,317","2020-03-24 22:00:00"
"Henan","Mainland China","1,274","22","1,250","2","2020-03-23 02:00:00"
"Zhejiang","Mainland China","1,240","1","1,221","18","2020-03-24 04:00:00"
"Japan","Japan","1,193","43","285","865","2020-03-24 20:00:00"
"Massachusetts","United States","1,159","11","0","1,148","2020-03-25 01:00:00 * CTY: Middlesex 304; Suffolk 234; Norfolk 129; Essex 118; unknown 85; Worcester 73; Plymouth 64; Barnstable 40; Berkshire 37; Bristol 31; Hampden 24; Franklin 10; Hampshire 8; Dukes and Nantucket 2"
"Luxembourg","Luxembourg","1,099","8","6","1,085","2020-03-24 18:00:00"
"Ecuador","Ecuador","1,082","27","3","1,052","2020-03-25 00:00:00"
"Georgia","United States","1,026","32","0","994","2020-03-25 01:00:00 * CTY: Fulton 184; DeKalb 94; Dougherty 90; Cobb 86; unknown 81; Bartow 74; Gwinnett 45; Cherokee 28; Carroll 26; Clayton 21; Lee 20; Clarke 16; Hall 14; Henry 13; Fayette 12; Richmond 11; Douglas 11; Floyd 11; Lowndes 10; Coweta 10; Polk 8; Forsyth 8; Rockdale 7; Chatham 7; Gordon 7; Paulding 6; Troup 6; Newton 5; Oconee 5; Glynn 5; Laurens 5; Spalding 5; Pickens 4; Columbia 4; Worth 4; Bibb 4; Lamar 3; Houston 3; Lumpkin 3; Mitchell 3; Peach 3; Muscogee 3; Monroe 3; Crisp 3; Terrell 3; Sumter 2; Baker 2; Coffee 2; Early 2; Baldwin 2; Whitfield 2; Butts 2; Bryan 2; Effingham 2; Tift 2; Colquitt 2; Charlton 1; Clinch 1; Lincoln 1; Tattnall 1; Meriwether 1; Liberty 1; Walton 1; Pulaski 1; Dawson 1; Morgan 1; Ben Hill 1; Camden 1; Miller 1; Greene 1; Irwin 1; Madison 1; Jasper 1; Chattooga 1; Burke 1; Barrow 1; Macon 1; Heard 1; Pierce 1; Twiggs 1; Randolph 1; Harris 1; Catoosa 1; Turner 1; Washington 1; Stephens 1"
"Hunan","Mainland China","1,018","4","1,014","0","2020-03-22 18:00:00"
"Anhui","Mainland China","990","6","984","0","2020-03-09 01:00:00"
"Pakistan","Pakistan","972","7","18","947","2020-03-24 20:00:00"
"Texas","United States","968","12","0","956","2020-03-25 01:00:00 * CTY: Dallas 169; Harris 134; Travis 86; Tarrant 71; Bexar 69; Denton 51; Fort Bend 46; Collin 45; Brazoria 28; McLennan 24; Montgomery 23; Galveston 18; Bell 18; Brazos 16; Williamson 14; Smith 14; Lubbock 12; El Paso 10; Hays 7; Ellis 6; Cameron 6; Jefferson 6; Nueces 6; Comal 5; Wichita 5; Matagorda 4; Webb 4; Guadalupe 4; Potter 3; Hockley 3; Midland 3; Victoria 3; Milam 2; Hidalgo 2; Johnson 2; Brown 2; Grayson 2; Grimes 2; Atascosa 2; Castro 2; Randall 2; Hardin 2; Fannin 1; Liberty 1; Eastland 1; Burnet 1; Falls 1; Gregg 1; Rusk 1; Maverick 1; Hopkins 1; Medina 1; Robertson 1; Tom Green 1; Kendall 1; Wharton 1; Oldham 1; Blanco 1; Hunt 1; Fayette 1; Lavaca 1; Llano 1; Gaines 1; Bowie 1; DeWitt 1; Bastrop 1; Deaf Smith 1; Waller 1; Chambers 1; Crane 1; Walker 1; Parker 1; Lamar 1; Van Zandt 1; Orange 1; Erath 1; Terry 1"
"Pennsylvania","United States","946","8","0","938","2020-03-25 01:00:00 * CTY: Philadelphia 252; Montgomery 159; Delaware 84; Bucks 69; Allegheny 58; Monroe 45; Chester 40; Northampton 33; Lehigh 27; Luzerne 21; York 18; Berks 16; Lackawanna 15; Cumberland 13; Westmoreland 11; Lancaster 10; Washington 9; Centre 7; Butler 6; Adams 6; Erie 5; Schuylkill 5; Wayne 4; Pike 4; Dauphin 4; Lebanon 3; Beaver 3; Franklin 3; Montour 3; Mercer 2; Fayette 2; ​Bradford 1; ​Clearfield 1; Columbia 1; ​Armstrong 1; Cambria 1; Potter 1; ​Somerset 1; ​Carbon 1; ​Juniata 1"
"Jiangxi","Mainland China","936","1","934","1","2020-03-22 18:00:00"
"Chile","Chile","922","2","17","903","2020-03-24 15:00:00 * Arica 2; Tarapaca 4; Antofagasta 13; Atacama 1; Coquimbo 11; Valparaiso 25; Metropolitana 540; O'Higgins 9; Maule 29; Ñuble 105; Biobio 73; Araucania 59; Los Rios 6; Los Lagos 36; Aysen 1; Magallanes 8. Source: @SouthernVOID"
"Poland","Poland","901","10","1","890","2020-03-24 22:00:00"
"Thailand","Thailand","827","4","52","771","2020-03-24 11:00:00"
"Colorado","United States","824","8","0","816","2020-03-25 01:00:00 * CTY: Denver 176; El Paso 106; Eagle 96; Arapahoe 69; Jefferson 55; Douglas 53; Weld 50; Boulder 49; Larimer 34; Gunnison 28; Adams 27; Pitkin 18; Garfield 8; Summit 8; Broomfield 5; unknown 5; Mesa 5; Routt 3; Teller 3; Chaffee 3; Pueblo 3; Elbert 3; Morgan 3; Clear Creek 3; Grand 2; Logan 2; Delta 1; Crowley 1; Hinsdale 1; San Miguel 1; Yuma 1; Park 1; Montrose 1"
"Romania","Romania","794","11","79","704","2020-03-24 22:00:00"
"Finland","Finland","792","1","10","781","2020-03-24 14:00:00"
"Tennessee","United States","773","2","0","771","2020-03-25 01:00:00 * CTY: Davidson 253; Shelby 135; Out-of-state 95; Williamson 64; unknown 38; Sumner 34; Knox 15; Rutherford 13; Robertson 12; Putnam 8; Hamilton 8; Wilson 7; Washington 7; Tipton 6; Montgomery 6; Maury 6; Greene 5; Dickson 5; Cheatham 5; Jefferson 4; Carroll 3; Cumberland 3; Blount 3; Monroe 2; Bradley 2; Gibson 2; Fayette 2; Loudon 2; McMinn 2; Campbell 2; Sevier 2; Sullivan 2; Hamblen 2; Dyer 2; Grundy 1; Houston 1; Perry 1; Hardin 1; Roane 1; Chester 1; Scott 1; Franklin 1; Anderson 1; Overton 1; Cocke 1; Madison 1; Dekalb 1; Lincoln 1; Claiborne 1; Marion 1; Weakley 0"
"Shandong","Mainland China","768","7","752","9","2020-03-23 11:00:00"
"Saudi Arabia","Saudi Arabia","767","1","28","738","2020-03-24 14:00:00"
"Greece","Greece","743","20","32","691","2020-03-24 18:00:00 * Provinces: Attica 292; Aegean Islands 1; Thrace 9; Macedonia 42; Epirus 3; Thessaly 10; Peloponesse 59; Dodecanese 1; Central Greece 2; Crete 5; Ionian Islands 5; Undefined Location 314. Source: @bikerboyGR"
"Others","Japan (Diamond Princess)","706","6","10","690","2020-03-03 03:00:00"
"Indonesia","Indonesia","686","55","30","601","2020-03-24 11:00:00"
"Iceland","Iceland","648","2","51","595","2020-03-24 14:00:00"
"Jiangsu","Mainland China","636","0","631","5","2020-03-24 04:00:00"
"Connecticut","United States","618","12","0","606","2020-03-25 01:00:00 * CTY: Fairfield 384; New Haven 89; Hartford 88; Litchfield 22; Tolland 19; Middlesex 8; New London 6; Windham 2"
"Chongqing","Mainland China","578","6","570","2","2020-03-24 00:00:00"
"Ohio","United States","567","8","0","559","2020-03-25 01:00:00 * CTY: Cuyahoga 167; Franklin 75; Hamilton 38; Summit 36; Lorain 30; Mahoning 28; Miami 19; Butler 18; Medina 15; Lucas 13; Stark 13; Delaware 11; Lake 11; Montgomery 10; Warren 7; Clermont 5; Geauga 5; Richland 4; Trumbull 4; Portage 4; Marion 4; Columbiana 3; Coshocton 3; Ashtabula 3; Tuscarawas 3; Greene 3; Carroll 3; Huron 2; Licking 2; Belmont 2; Wood 2; Fairfield 2; Clark 2; Union 2; Logan 2; Defiance 2; Darke 1; Madison 1; Crawford 1; Clinton 1; Washington 1; Champaign 1; Highland 1; Knox 1; Sandusky 1; Gallia 1; Ashland 1; Hancock 1; Erie 1; Seneca 1"
"Beijing","Mainland China","558","8","401","149","2020-03-24 08:00:00"
"Singapore","Singapore","558","2","156","400","2020-03-24 14:00:00"
"South Africa","South Africa","554","0","4","550","2020-03-24 11:00:00"
